what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318503466830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318504216743
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1318504233152
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1318504233352
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1318504233443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318504250771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318504274247
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1318504275590
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1318504275756
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1318504275758
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1318504275790
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1318504275825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318504275933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318504277389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318504279939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318504289726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1318504289779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318504291586
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318504292080
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1318504292331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318504738552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318504749835
