what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.contribution.weaving.jdt,2.1.3.e36x-20110622-1300,"org.eclipse.contribution.weaving.jdt",1320791271732
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.0.v20100503,"org.eclipse.equinox.weaving.aspectj",1320791271732
started,bundle,org.scala-ide.sdt.aspects,2.0.0.beta11-2_09-201110031011-3a97f5e,"org.scala-ide.sdt.aspects",1320791271732
started,bundle,org.eclipse.sequoyah.android.cdt.build.ui,1.1.3.M20110913-0203,"org.eclipse.sequoyah.android.cdt.build.ui",1320791271732
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1320791271732
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1320791271732
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1320791271732
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1320791271732
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1320791271732
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1320791271732
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1320791271732
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1320791271732
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1320791271732
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1320791271732
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1320791271732
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1320791271732
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1320791271732
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1320791271733
started,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1320791271733
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1320791271733
os,sysinfo,,,"macosx",1320791271738
arch,sysinfo,,,"x86_64",1320791271738
ws,sysinfo,,,"cocoa",1320791271738
locale,sysinfo,,,"en_US",1320791271738
processors,sysinfo,,,"4",1320791271738
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1320791271738
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1320791271738
java.specification.name,sysinfo,,,"Java Platform API Specification",1320791271738
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320791271738
java.specification.version,sysinfo,,,"1.6",1320791271738
java.vendor,sysinfo,,,"Apple Inc.",1320791271738
java.version,sysinfo,,,"1.6.0_26",1320791271738
java.vm.info,sysinfo,,,"mixed mode",1320791271738
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1320791271738
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1320791271738
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320791271738
java.vm.specification.version,sysinfo,,,"1.0",1320791271738
java.vm.vendor,sysinfo,,,"Apple Inc.",1320791271738
java.vm.version,sysinfo,,,"20.1-b02-384",1320791271738
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1320791271775
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1320791271842
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1320791271993
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1320791272044
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1320791272130
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1320791272368
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1320791272459
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1320791272474
started,bundle,org.eclipse.sequoyah.device.framework,2.0.1.M20110913-0203,"org.eclipse.sequoyah.device.framework",1320791272598
started,bundle,org.eclipse.sequoyah.device.backward,1.0.1.M20110913-0203,"org.eclipse.sequoyah.device.backward",1320791272608
started,bundle,org.eclipse.sequoyah.device.service.start,1.0.2.M20110913-0203,"org.eclipse.sequoyah.device.service.start",1320791272718
started,bundle,org.eclipse.sequoyah.device.service.stop,1.0.2.M20110913-0203,"org.eclipse.sequoyah.device.service.stop",1320791272721
started,bundle,org.eclipse.sequoyah.device.framework.wizard,1.0.3.M20110913-0203,"org.eclipse.sequoyah.device.framework.wizard",1320791272852
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1320791272857
started,bundle,org.eclipse.sequoyah.localization.tools,2.0.1.M20110913-0203,"org.eclipse.sequoyah.localization.tools",1320791272864
started,bundle,org.eclipse.sequoyah.localization.android,2.0.1.M20110913-0203,"org.eclipse.sequoyah.localization.android",1320791273022
started,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1320791273207
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1320791273300
started,bundle,org.eclipse.cdt.make.core,7.1.1.201109151620,"org.eclipse.cdt.make.core",1320791274252
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.core",1320791275820
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1320791276003
started,bundle,org.eclipse.cdt.core,5.3.1.201109151620,"org.eclipse.cdt.core",1320791276484
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1320791276698
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1320791277443
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1320791277647
started,bundle,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui",1320791277699
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1320791277720
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201109151620,"org.eclipse.cdt.codan.core",1320791277725
started,bundle,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui",1320791277831
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1320791277855
error,log,,,"fileChanged: failed to find manifest package for project HelloPanasonic",1320791304488
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1320791304590
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1320791304590
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1320791304759
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1320791304877
error,log,,,"Exception while reading /HelloPanasonic/.classpath",1320791305254
